Name,Email,Telefonnummer,Adresse,Beruf,Alter,Risiko,Kommunikationsfähigkeit,Empathie,Teamfähigkeit,Konfliktlösung,Empathische Kommunikation,Kundenorientierung,Networking,Flexibilität,Selbstmotivation,Belastbarkeit,Emotional Intelligence,Analytisches Denken,Entscheidungsfreude,Zielorientierung,Offenheit für Feedback,Selbstreflexion,Teamführung,Verhandlungsgeschick,Konfliktmanagement,Durchsetzungsvermögen,Kreativität,Zeitmanagement,Organisationsfähigkeit,Lernbereitschaft,Java,Python,C++,JavaScript,Ruby,PHP,Swift,Kotlin,C#,Go (Golang),HTML5,CSS3,React.js,Angular,Vue.js,Bootstrap,jQuery,SQL (Structured Query Language),MySQL,PostgreSQL,MongoDB,Oracle,Microsoft SQL Server,Datenbankdesign,Amazon Web Services (AWS),Microsoft Azure,Google Cloud Platform (GCP),Docker,Kubernetes,Continuous Integration / Continuous Deployment (CI/CD),Node.js,Express.js,Spring Framework (Java),Django (Python),Ruby on Rails,Laravel (PHP),Netzwerksicherheit,Ethical Hacking,Penetration Testing,Informationssicherheitsmanagement,Incident Response,Android App Entwicklung (Java/Kotlin),iOS App Entwicklung (Swift),"Cross-Platform-Entwicklung (z. B. React Native, Flutter)",Data Science,Maschinelles Lernen (Machine Learning),Künstliche Intelligenz (AI),Deep Learning,Data Mining,Linux-Administration,Windows Server-Administration,Netzwerkadministration,Testautomatisierung,Testmanagement,Last- und Performance-Testing
Annedore Kuhl,evamaria83@example.org,0768016593,"Elfie-Holt-Platz 6/7
74806 Stollberg",Bäcker,2005-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Univ.Prof. Telse Ortmann,guelsentroest@example.com,(06770) 839743,"Geiselstraße 7
25270 Burglengenfeld",Elektroniker,1940-04-05,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Hedy Schinke,swesack@example.net,+49(0)0411 95438,"Hoffmannring 68
03776 Wunsiedel",Altenpfleger,2013-11-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdullah Walter MBA.,reinhild21@example.net,05075 799878,"Friedo-Adler-Gasse 0/2
42454 Eilenburg",Fleischer,1989-06-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ing. Zlatko Dowerg,muharrem33@example.net,(02840) 750382,"Renato-Krein-Platz 9
54225 Siegen",Binnenschiffer,1927-06-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dr. Klaus-Peter Ebert B.A.,jgunpf@example.net,+49 (0) 6909 047864,"Othmar-Koch II-Platz 17
68452 Wernigerode",Fleischer,1931-10-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Miroslaw Stoll,anjadippel@example.com,0858261187,"Herrmanngasse 6/4
43200 Jülich",Altenpfleger,1968-12-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gülten Hornich-Förster,junckeneckehard@example.net,+49(0)5509463762,"Kästerstraße 265
66407 Hildburghausen",Informatiker,1910-08-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dr. Annegret Losekann B.A.,qeimer@example.com,+49(0)2896445962,"Kuschstraße 292
13281 Kassel",Altenpfleger,1961-01-24,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ingrid Reising-Zorbach,killerhelmut@example.org,0157379434,"Hans-Rudolf-Pohl-Weg 7/6
25478 Stadtsteinach",Friseur,1914-08-06,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
